channel,t_stat,p_value,seizure_mean,normal_mean,effect_size
113,25.652078108525398,6.948262348976497e-145,85.62888934161212,27.831033071592554,2.0005363354250716
54,23.81766623247141,3.299389181010018e-125,63.59982872009277,21.24686112178352,1.6069122530729134
53,22.663785223357767,1.427168877903743e-113,76.09769645897117,23.808402139771186,1.573791219803729
62,20.697013948272858,4.6552049589223005e-95,95.17389019115551,30.64180945710017,1.3972107231704667
63,20.299400286970126,1.6159510863683933e-91,67.91763542793892,24.214829233779692,1.6347819689946634
61,19.971474173467232,1.1944795822898032e-88,64.10238307231181,24.4071277276252,1.2021055182969833
105,16.753272239855754,5.926900951310486e-63,70.98788761448216,30.683283855593285,1.5188062349702862
55,16.622385300237895,5.290049659209148e-62,43.9818486394109,18.619271377919596,1.6546336792279084
31,15.855582395413997,1.3945465435218402e-56,44.22501863015665,18.038664585494406,1.818365401153572
15,14.774961170143062,2.2584556709520874e-49,46.28647010390823,19.054315008577017,2.148968977661587
120,14.25595217355863,4.340170318488075e-46,90.45426188288508,36.892508589978135,0.45157700057270594
47,13.107534196441122,3.096465470680001e-39,39.49501656197213,18.199967474625367,1.7520293358739352
30,12.502781523571189,7.438358617928998e-36,53.69458724356986,20.91385647258055,1.7118842558157017
121,12.407690505925395,2.4474511742055105e-35,53.72866883149018,27.051606253620932,1.8572262262884847
126,12.149622707892757,5.926867542725153e-34,46.37334163768871,24.78518453968538,1.3952105260331402
76,12.053286657044795,1.914967058780501e-33,62.03365748637432,31.003913866001998,1.2327536125744358
22,11.128936572975906,9.252320840996756e-29,44.37045499440786,20.331858248500275,1.6762894882904802
106,11.117251298063135,1.054659197939675e-28,143.18440782701646,60.99418218148403,1.4473999043971093
125,11.054808805192145,2.118198966065995e-28,59.63746081171809,33.78363215194228,1.4686771780143306
77,11.032069566867786,2.727963869490415e-28,73.81027025789828,34.8730003613024,1.1825388145415843
45,10.944865515648528,7.16359545840867e-28,56.33821430721798,27.514090907496566,1.1884425275374373
117,10.889097852923332,1.3229924378717195e-27,54.90573501586914,31.754800329087576,1.4940251942481615
39,10.875736424945652,1.5317648454674178e-27,38.76832472311484,18.792138216003817,1.394726302385429
70,10.802166282822236,3.421369605928413e-27,58.22340284811484,27.331503056188556,1.3239822821192424
46,10.658867351656081,1.6118024385205323e-26,35.7545142302642,18.11782256249896,1.467319981389846
79,10.408112540225282,2.3117061763520473e-25,55.988925057488515,30.28889325747443,1.2729597053694397
114,9.918755864227837,3.4938102171327285e-23,76.19664279834645,30.271301098903592,1.6054828087014434
7,9.499253660282214,2.136445101890651e-21,36.19409679722141,19.018746729661025,1.3488264117364375
85,9.193453169833328,3.8397501985262276e-20,74.42230296779323,41.23298868034033,0.999875380972582
69,9.180226283669795,4.341741053538884e-20,55.71423133643898,29.272009032858087,1.1030495478044986
101,9.120104622771121,7.572961777033234e-20,65.09854316711426,39.10583268292326,1.3208429936594765
112,8.784027752668253,1.5894996526125074e-18,66.67762823362608,30.190366255736567,1.509036932131786
52,8.768787642373836,1.819958692735943e-18,34.61592462900523,20.24570719764957,1.2012853906697785
